Ranking,Titles,Release Years,Ratings,Casting,
29,Terminator 2: Judgment Day,1991,8.5,James Cameron (dir.); Arnold Schwarzenegger; Linda Hamilton
30,Back to the Future,1985,8.5,Robert Zemeckis (dir.); Michael J. Fox; Christopher Lloyd
31,Spirited Away,2001,8.5,Hayao Miyazaki (dir.); Daveigh Chase; Suzanne Pleshette
32,The Pianist,2002,8.5,Roman Polanski (dir.); Adrien Brody; Thomas Kretschmann
33,Psycho,1960,8.5,Alfred Hitchcock (dir.); Anthony Perkins; Janet Leigh
34,Parasite,2019,8.5,Bong Joon Ho (dir.); Song Kang-ho; Lee Sun-kyun
35,Leon,1994,8.5,Luc Besson (dir.); Jean Reno; Gary Oldman
36,The Lion King,1994,8.5,Roger Allers (dir.); Matthew Broderick; Jeremy Irons
37,Gladiator,2000,8.5,Ridley Scott (dir.); Russell Crowe; Joaquin Phoenix
38,American History X,1998,8.5,Tony Kaye (dir.); Edward Norton; Edward Furlong
39,The Departed,2006,8.5,Martin Scorsese (dir.); Leonardo DiCaprio; Matt Damon
40,The Usual Suspects,1995,8.5,Bryan Singer (dir.); Kevin Spacey; Gabriel Byrne
41,The Prestige,2006,8.5,Christopher Nolan (dir.); Christian Bale; Hugh Jackman
42,Whiplash,2014,8.5,Damien Chazelle (dir.); Miles Teller; J.K. Simmons
43,Casablanca,1942,8.5,Michael Curtiz (dir.); Humphrey Bogart; Ingrid Bergman
44,Grave of the Fireflies,1988,8.5,Isao Takahata (dir.); Tsutomu Tatsumi; Ayano Shiraishi
45,Harakiri,1962,8.5,Masaki Kobayashi (dir.); Tatsuya Nakadai; Akira Ishihama
46,Untouchable,2011,8.5,Olivier Nakache (dir.); François Cluzet; Omar Sy
47,Modern Times,1936,8.4,Charles Chaplin (dir.); Charles Chaplin; Paulette Goddard
48,Once Upon a Time in the West,1968,8.4,Sergio Leone (dir.); Henry Fonda; Charles Bronson
49,Cinema Paradiso,1988,8.4,Giuseppe Tornatore (dir.); Philippe Noiret; Enzo Cannavale
50,Rear Window,1954,8.4,Alfred Hitchcock (dir.); James Stewart; Grace Kelly
51,Alien,1979,8.4,Ridley Scott (dir.); Sigourney Weaver; Tom Skerritt
52,City Lights,1931,8.4,Charles Chaplin (dir.); Charles Chaplin; Virginia Cherrill
53,Apocalypse Now,1979,8.4,Francis Ford Coppola (dir.); Martin Sheen; Marlon Brando
54,Memento,2000,8.4,Christopher Nolan (dir.); Guy Pearce; Carrie-Anne Moss
55,Django Unchained,2012,8.4,Quentin Tarantino (dir.); Jamie Foxx; Christoph Waltz
56,Raiders of the Lost Ark,1981,8.4,Steven Spielberg (dir.); Harrison Ford; Karen Allen
57,WALL·E,2008,8.4,Andrew Stanton (dir.); Ben Burtt; Elissa Knight
58,The Lives of Others,2006,8.4,Florian Henckel von Donnersmarck (dir.); Ulrich Mühe; Martina Gedeck
59,Sunset Blvd.,1950,8.4,Billy Wilder (dir.); William Holden; Gloria Swanson
60,Paths of Glory,1957,8.4,Stanley Kubrick (dir.); Kirk Douglas; Ralph Meeker
61,The Shining,1980,8.4,Stanley Kubrick (dir.); Jack Nicholson; Shelley Duvall
62,The Great Dictator,1940,8.4,Charles Chaplin (dir.); Charles Chaplin; Paulette Goddard
63,Avengers: Infinity War,2018,8.4,Anthony Russo (dir.); Robert Downey Jr.; Chris Hemsworth
64,Witness for the Prosecution,1957,8.4,Billy Wilder (dir.); Tyrone Power; Marlene Dietrich
65,Aliens,1986,8.3,James Cameron (dir.); Sigourney Weaver; Michael Biehn
66,Spider-Man: Into the Spider-Verse,2018,8.3,Bob Persichetti (dir.); Shameik Moore; Jake Johnson
67,American Beauty,1999,8.3,Sam Mendes (dir.); Kevin Spacey; Annette Bening
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,Stanley Kubrick (dir.); Peter Sellers; George C. Scott
69,The Dark Knight Rises,2012,8.3,Christopher Nolan (dir.); Christian Bale; Tom Hardy
